date,contract,contract_month,session,open,high,low,last,change,change_percent,volume,settlement_price,open_interest,best_bid,best_ask,historical_high,historical_low
2020-04-10,TX,202103,Regular,9320,9384,9320,9384,7,0.07,8,9384,171,9384,9401,9499,7591
2020-04-10,TX,202103,After-Hours,9410,9410,9300,9300,-77,-0.82,11,,,9311,9319,9499,7591
2020-04-13,TX,202004,Regular,10084,10149,10031,10073,-60,-0.59,124231,10079,57207,10073,10076,12103,8268
2020-04-13,TX,202004,After-Hours,10131,10185,10102,10127,-6,-0.06,11142,,,10125,10128,12103,8268
2020-04-13,TX,202005,Regular,9992,10050,9926,9941,-105,-1.05,31702,9949,38853,9927,9941,11776,8212
2020-04-13,TX,202005,After-Hours,10039,10091,10016,10040,-6,-0.06,539,,,10038,10042,11776,8212
2020-04-13,TX,202006,Regular,9929,9982,9866,9866,-113,-1.13,1273,9883,7025,9865,9881,12115,8150
2020-04-13,TX,202006,After-Hours,9985,10032,9950,9973,-6,-0.06,20,,,9960,9975,12115,8150
2020-04-13,TX,202009,Regular,9542,9564,9510,9510,-81,-0.84,525,9510,1547,9478,9510,11739,7782
2020-04-13,TX,202009,After-Hours,9637,9637,9570,9570,-21,-0.22,3,,,9573,9586,11739,7782
2020-04-13,TX,202012,Regular,9420,9472,9399,9402,-88,-0.93,21,9402,750,9376,9399,11688,7655
2020-04-13,TX,202012,After-Hours,9496,9538,9480,9480,-10,-0.11,15,,,9468,9487,11688,7655
2020-04-13,TX,202103,Regular,9320,9341,9293,9293,-91,-0.97,14,9299,184,9275,9293,9499,7591
2020-04-13,TX,202103,After-Hours,9404,9423,9404,9423,39,0.42,4,,,9376,9395,9499,7591
2020-04-14,TX,202004,Regular,10160,10355,10125,10346,267,2.65,133841,10343,35194,10344,10346,12103,8268
2020-04-14,TX,202004,After-Hours,10081,10125,10069,10120,41,0.41,30548,,,10118,10119,12103,8268
2020-04-14,TX,202005,Regular,10012,10273,10001,10261,312,3.14,46563,10263,61886,10261,10265,11776,8212
2020-04-14,TX,202005,After-Hours,9950,9995,9938,9988,39,0.39,3290,,,9987,9990,11776,8212
2020-04-14,TX,202006,Regular,9945,10204,9936,10193,310,3.14,698,10193,7307,10191,10199,12115,8150
2020-04-14,TX,202006,After-Hours,9881,9920,9872,9912,29,0.29,53,,,9911,9919,12115,8150
2020-04-14,TX,202009,Regular,9600,9806,9600,9800,290,3.05,43,9800,1567,9800,9811,11739,7782
2020-04-14,TX,202009,After-Hours,9510,9531,9510,9531,21,0.22,3,,,9534,9549,11739,7782
2020-04-14,TX,202012,Regular,9460,9705,9460,9699,297,3.16,49,9699,754,9691,9699,11688,7655
2020-04-14,TX,202012,After-Hours,9415,9415,9415,9415,13,0.14,1,,,9419,9449,11688,7655
2020-04-14,TX,202103,Regular,9361,9596,9360,9592,293,3.15,41,9592,184,9587,9595,9596,7591
2020-04-14,TX,202103,After-Hours,9329,9340,9300,9340,41,0.44,3,,,9333,9347,9499,7591
2020-04-15,TX,202004,Regular,10347,10463,10330,10450,107,1.03,67002,0,23758,10450,10451,12103,8268
2020-04-15,TX,202004,After-Hours,10338,10412,10324,10389,46,0.44,35221,,,10389,10390,12103,8268
2020-04-15,TX,202005,Regular,10270,10366,10245,10322,59,0.57,54271,10325,69366,10322,10323,11776,8212
2020-04-15,TX,202005,After-Hours,10265,10334,10245,10311,48,0.47,7943,,,10311,10312,11776,8212
2020-04-15,TX,202006,Regular,10217,10297,10182,10260,67,0.66,326,10260,7288,10253,10256,12115,8150
2020-04-15,TX,202006,After-Hours,10193,10267,10180,10231,38,0.37,114,,,10245,10248,12115,8150
2020-04-15,TX,202009,Regular,9800,9914,9800,9880,80,0.82,54,9880,1569,9871,9875,11739,7782
2020-04-15,TX,202009,After-Hours,9811,9837,9811,9837,37,0.38,3,,,9856,9866,11739,7782
2020-04-15,TX,202012,Regular,9700,9792,9700,9760,61,0.63,50,9760,766,9757,9761,11688,7655
2020-04-15,TX,202012,After-Hours,9711,9763,9685,9757,58,0.6,31,,,9749,9757,11688,7655
2020-04-15,TX,202103,Regular,9593,9690,9593,9662,70,0.73,57,9662,197,9654,9659,9690,7591
2020-04-15,TX,202103,After-Hours,9608,9666,9584,9652,60,0.63,34,,,9646,9652,9666,7591
2020-04-16,TX,202005,Regular,10177,10343,10161,10302,-23,-0.22,117908,10301,74924,10301,10302,11776,8212
2020-04-16,TX,202005,After-Hours,10315,10319,10168,10216,-109,-1.06,49234,,,10215,10216,11776,8212
2020-04-16,TX,202006,Regular,10112,10270,10096,10233,-27,-0.26,804,10233,7668,10233,10235,12115,8150
2020-04-16,TX,202006,After-Hours,10250,10250,10105,10146,-114,-1.11,268,,,10147,10151,12115,8150
2020-04-16,TX,202007,Regular,10012,10060,10012,10060,-21,-0.21,7,10060,4,10051,10070,10060,10012
2020-04-16,TX,202009,Regular,9735,9882,9727,9852,-28,-0.28,42,9852,1584,9851,9854,11739,7782
2020-04-16,TX,202009,After-Hours,9851,9851,9730,9764,-116,-1.17,19,,,9763,9767,11739,7782
2020-04-16,TX,202012,Regular,9621,9770,9618,9737,-23,-0.24,32,9737,770,9738,9741,11688,7655
2020-04-16,TX,202012,After-Hours,9715,9715,9617,9626,-134,-1.37,19,,,9651,9656,11688,7655
2020-04-16,TX,202103,Regular,9522,9666,9500,9632,-30,-0.31,25,9632,193,9633,9638,9690,7591
2020-04-16,TX,202103,After-Hours,9639,9646,9509,9542,-120,-1.24,40,,,9545,9549,9690,7591
2020-04-17,TX,202005,Regular,10575,10669,10456,10561,260,2.52,159024,10563,74507,10561,10565,11776,8212
2020-04-17,TX,202005,After-Hours,10408,10449,10328,10433,132,1.28,63481,,,10433,10434,11776,8212
2020-04-17,TX,202006,Regular,10499,10600,10400,10499,266,2.6,2005,10499,7997,10500,10504,12115,8150
2020-04-17,TX,202006,After-Hours,10334,10380,10271,10368,135,1.32,446,,,10365,10369,12115,8150
2020-04-17,TX,202007,Regular,10320,10410,10253,10327,267,2.65,28,10327,24,10322,10331,10410,10012
2020-04-17,TX,202007,After-Hours,10166,10167,10131,10167,107,1.06,12,,,10185,10194,10167,10012
2020-04-17,TX,202009,Regular,10126,10214,10024,10123,271,2.75,82,10123,1573,10114,10121,11739,7782
2020-04-17,TX,202009,After-Hours,9942,9989,9888,9935,83,0.84,62,,,9983,9987,11739,7782
2020-04-17,TX,202012,Regular,10044,10100,9933,10012,275,2.82,75,10012,784,10002,10010,11688,7655
2020-04-17,TX,202012,After-Hours,9832,9858,9783,9830,93,0.96,27,,,9869,9874,11688,7655
2020-04-17,TX,202103,Regular,9908,10003,9846,9902,270,2.8,59,9902,204,9903,9911,10003,7591
2020-04-17,TX,202103,After-Hours,9733,9754,9684,9736,104,1.08,29,,,9766,9772,9754,7591
2020-04-20,TX,202005,Regular,10515,10560,10458,10476,-87,-0.82,95719,10475,76238,10476,10478,11776,8212
