date,daily_points,cumulative_points
2022-07-29,107,5516.56106
2022-08-01,-70,5446.56106
2022-08-02,-225,5221.56106
2022-08-03,27,5248.56106
2022-08-04,-18,5230.56106
2022-08-05,357,5587.56106
2022-08-08,-50,5537.56106
2022-08-09,55,5592.56106
2022-08-10,-138,5454.56106
2022-08-11,306,5760.56106
2022-08-12,90,5850.56106
2022-08-15,111,5961.56106
2022-08-16,36.8852,5998.44626
2022-08-17,9,6007.44626
2022-08-18,-62,5945.44626
2022-08-19,37,5982.44626
2022-08-22,-175,5807.44626
2022-08-23,-151,5656.44626
2022-08-24,7,5663.44626
2022-08-25,135,5798.44626
2022-08-26,71,5869.44626
2022-08-29,-421,5448.44626
2022-08-30,129,5577.44626
2022-08-31,93,5670.44626
2022-09-01,-305,5365.44626
2022-09-02,-139,5226.44626
2022-09-05,15,5241.44626
2022-09-06,22,5263.44626
2022-09-07,-278,4985.44626
2022-09-08,188,5173.44626
2022-09-12,252,5425.44626
2022-09-13,78,5503.44626
2022-09-14,-297,5206.44626
2022-09-15,64,5270.44626
2022-09-16,-157,5113.44626
2022-09-19,-65,5048.44626
2022-09-20,134.91888,5183.36514
2022-09-21,-117,5066.36514
2022-09-22,-172,4894.36514
2022-09-23,-121,4773.36514
2022-09-26,-356,4417.36514
2022-09-27,53,4470.36514
2022-09-28,-300,4170.36514
2022-09-29,8,4178.36514
2022-09-30,-129,4049.36514
2022-10-03,-91,3958.36514
2022-10-04,290,4248.36514
2022-10-05,221,4469.36514
2022-10-06,57,4526.36514
2022-10-07,-183,4343.36514
2022-10-11,-598,3745.36514
2022-10-12,-18,3727.36514
2022-10-13,-203,3524.36514
2022-10-14,299,3823.36514
2022-10-17,-190,3633.36514
2022-10-18,118.97684,3752.3419799999997
2022-10-19,-117,3635.3419799999997
2022-10-20,-64,3571.3419799999997
2022-10-21,-93,3478.3419799999997
2022-10-24,79,3557.3419799999997
2022-10-25,-199,3358.3419799999997
2022-10-26,56,3414.3419799999997
2022-10-27,215,3629.3419799999997
2022-10-28,-189,3440.3419799999997
2022-10-31,176,3616.3419799999997
2022-11-01,90,3706.3419799999997
2022-11-02,51,3757.3419799999997
2022-11-03,-127,3630.3419799999997
2022-11-04,72,3702.3419799999997
2022-11-07,196,3898.3419799999997
2022-11-08,108,4006.3419799999997
2022-11-09,260,4266.341979999999
2022-11-10,-107,4159.341979999999
2022-11-11,568,4727.341979999999
2022-11-14,71,4798.341979999999
2022-11-15,395.9218,5194.263779999999
2022-11-16,31,5225.263779999999
2022-11-17,25,5250.263779999999
2022-11-18,-46,5204.263779999999
2022-11-21,-34,5170.263779999999
2022-11-22,73,5243.263779999999
2022-11-23,95,5338.263779999999
2022-11-24,175,5513.263779999999
2022-11-25,-64,5449.263779999999
2022-11-28,-236,5213.263779999999
2022-11-29,186,5399.263779999999
2022-11-30,142,5541.263779999999
2022-12-01,178,5719.263779999999
2022-12-02,-96,5623.263779999999
2022-12-05,46,5669.263779999999
2022-12-06,-251,5418.263779999999
2022-12-07,-54,5364.263779999999
2022-12-08,-130,5234.263779999999
2022-12-09,214,5448.263779999999
2022-12-12,-126,5322.263779999999
2022-12-13,-65,5257.263779999999
2022-12-14,192,5449.263779999999
2022-12-15,3,5452.263779999999
2022-12-16,-250,5202.263779999999
2022-12-19,-56,5146.263779999999
2022-12-20,-257.06492,4889.1988599999995
2022-12-21,44,4933.1988599999995
2022-12-22,207,5140.1988599999995
2022-12-23,-185,4955.1988599999995
2022-12-26,54,5009.1988599999995
2022-12-27,62,5071.1988599999995
2022-12-28,-193,4878.1988599999995
2022-12-29,-78,4800.1988599999995
2022-12-30,101,4901.1988599999995
2023-01-03,95,4996.1988599999995
2023-01-04,-21,4975.1988599999995
2023-01-05,80,5055.1988599999995
2023-01-06,77,5132.1988599999995
2023-01-09,399,5531.1988599999995
2023-01-10,45,5576.1988599999995
2023-01-11,-19,5557.1988599999995
2023-01-12,-25,5532.1988599999995
2023-01-13,68,5600.1988599999995
2023-01-16,104,5704.1988599999995
2023-01-17,-16.0964,5688.102459999999
2023-01-30,547,6235.102459999999
2023-01-31,-189,6046.102459999999
2023-02-01,114,6160.102459999999
2023-02-02,198,6358.102459999999
2023-02-03,1,6359.102459999999
2023-02-06,-174,6185.102459999999
2023-02-07,-10,6175.102459999999
2023-02-08,207,6382.102459999999
2023-02-09,-4,6378.102459999999
2023-02-10,-23,6355.102459999999
2023-02-13,-45,6310.102459999999
2023-02-14,122.8742,6432.976659999999
2023-02-15,-279,6153.976659999999
2023-02-16,177,6330.976659999999
2023-02-17,-107,6223.976659999999
2023-02-20,88,6311.976659999999
2023-02-21,4,6315.976659999999
2023-02-22,-153,6162.976659999999
2023-02-23,225,6387.976659999999
2023-02-24,-59,6328.976659999999
2023-03-01,5,6333.976659999999
2023-03-02,-4,6329.976659999999
2023-03-03,73,6402.976659999999
2023-03-06,157,6559.976659999999
2023-03-07,101,6660.976659999999
2023-03-08,-88,6572.976659999999
2023-03-09,-19,6553.976659999999
2023-03-10,-285,6268.976659999999
2023-03-13,38,6306.976659999999
2023-03-14,-168.11152,6138.865139999999
2023-03-15,42,6180.865139999999
2023-03-16,-104,6076.865139999999
2023-03-17,179,6255.865139999999
2023-03-20,-35,6220.865139999999
2023-03-21,85,6305.865139999999
2023-03-22,260,6565.865139999999
2023-03-23,121,6686.865139999999
2023-03-24,81,6767.865139999999
2023-03-27,-88,6679.865139999999
2023-03-28,-140,6539.865139999999
2023-03-29,49,6588.865139999999
2023-03-30,81,6669.865139999999
2023-03-31,45,6714.865139999999
2023-04-06,-102,6612.865139999999
2023-04-07,56,6668.865139999999
2023-04-10,33,6701.865139999999
2023-04-11,73,6774.865139999999
2023-04-12,1,6775.865139999999
2023-04-13,-109,6666.865139999999
